insertion,merge,q1,q2,q3
1269,1922,2330,1372,867
1005,2870,1835,550,1323
1533,7679,5260,662,3337
1333,18836,5465,1076,9042
3877,4829,4274,8923,58235
3267,12701,22529,19666,16758
7233,54620,56385,55587,39373
11961,96599,32909,36141,50282
24188,384355,100868,109373,90367
20881,1330449,361597,354207,166592
25276,3889663,1367945,1326764,102836
21103,11575889,4578558,4600078,123290
12254,41142703,17727133,17703724,231519
24420,152347022,71433822,70380570,452523
48332,618225538,281982508,281538662,931366
98774,2553025027,1121302487,1123606693,1937794

